source_family,source_task_or_group,unified_dimension_id,mapping_role,mapping_strength,evidence_class,profile_use,notes
Stage7 locked confirmation,following_interaction,LON.CAR_FOLLOWING,secondary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Shared parent BDD; task-specific semantic direction was not frozen
Stage7 locked confirmation,lane_change,LAT.LANE_CHANGE,primary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Scenario type does not prove ego executed a lane change
Stage7 locked confirmation,stop_go_control,LON.ACCEL_DECEL,primary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Task-specific semantic direction was not frozen
Stage7 locked confirmation,stop_go_control,LON.COMFORT,secondary,MIXED_PROXY,paired_task_bdd,profile_proxy_only,No task-specific frozen jerk delta
Stage7 locked confirmation,high_motion_dynamics,LAT.DYNAMICS,primary,MIXED_PROXY,paired_task_bdd,profile_proxy_only,Mixes high lateral acceleration and speed-magnitude scenario types
Stage7 locked confirmation,high_motion_dynamics,LON.ACCEL_DECEL,secondary,MIXED_PROXY,paired_task_bdd,profile_proxy_only,Must not be called pure lateral evidence
Stage7 locked confirmation,dense_or_vulnerable_interaction,INT.MERGE_YIELD_CUTIN,primary,INSUFFICIENT_FOR_DIMENSION_CLAIM,paired_task_bdd,profile_not_confirmatory,Only a broad dense-or-vulnerable interaction proxy
Stage6J/K pure longitudinal,overall,LON.ACCEL_DECEL,primary,TREATMENT_ALIGNED_PROXY,paired_bdd,profile_allowed,Pure-longitudinal planner treatment over mixed tasks
Stage6J/K pure longitudinal,overall,LON.COMFORT,secondary,TREATMENT_ALIGNED_PROXY,semantic_metrics,profile_allowed,Shared parent BDD with RMS jerk semantic delta
Stage6J/K pure longitudinal,following_interaction,LON.CAR_FOLLOWING,primary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Following task within pure-longitudinal treatment
Stage6J/K pure longitudinal,following_interaction,INT.LONG_FOLLOWING,secondary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Shared parent BDD
Stage6J/K pure longitudinal,stop_go_control,LON.ACCEL_DECEL,primary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Stop-go slice
Stage6J/K pure longitudinal,stop_go_control,LON.COMFORT,secondary,TASK_SLICE_PROXY,semantic_metrics,profile_allowed,Shared parent BDD
Stage6J/K pure longitudinal,longitudinal_high_motion,LON.ACCEL_DECEL,primary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Derived from high-motion task after excluding high-lateral scenarios
Stage6J/K pure longitudinal,longitudinal_high_motion,LON.COMFORT,secondary,MIXED_PROXY,semantic_metrics,profile_proxy_only,Shared parent BDD
Stage6P unpaired release,context_balanced_overall,OVR.ALL,primary,REPRESENTATION_EVALUATION_ONLY,unpaired_detection,scorecard_only,Aggregated bidirectional release detection does not provide semantic behavior direction
Stage6P unpaired release,raw_marginal_overall,OVR.ALL,secondary,REPRESENTATION_EVALUATION_ONLY,unpaired_detection,scorecard_only,Diagnostic method; context-balanced is primary
Stage6W mechanism,same_support_paired_unpaired,OVR.ALL,secondary,REPRESENTATION_EVALUATION_ONLY,signal_noise_decomposition,scorecard_only,Explains evaluator signal/noise rather than Target behavior direction
Stage6S-v3 interaction,following_interaction_confirmation_v3,INT.LONG_FOLLOWING,primary,EXACT_DIMENSION,paired_bdd_and_semantic,profile_allowed,Short-headway Target versus long-headway Reference
Stage6S-v3 interaction,following_interaction_confirmation_v3,INT.FRONT_GAP_THW,secondary,EXACT_DIMENSION,paired_bdd_and_semantic,profile_allowed,Shared parent BDD with explicit front-gap and finite-THW deltas
Stage6S-v3 interaction,following_interaction_confirmation_v3,LON.CLOSING_RESPONSE,secondary,EXACT_DIMENSION,paired_bdd_and_semantic,profile_allowed,Shared parent BDD with closing-response acceleration delta
Stage6S-v3 interaction,C_full_minus_C_neighbor_zero,INT.LONG_FOLLOWING,diagnostic,REPRESENTATION_EVALUATION_ONLY,representation_increment,scorecard_only,Tests incremental interaction information and not behavior direction
