document,section,current_rule,v2.3_concept,impact_class,scientific_reason,recommended_action,owner_approval_required,historical_result_affected,future_execution_affected
S1_Handcrafted_Challenger_Contract_Draft_v0.1.md,H definition,Development-informed 30D handcrafted challenger,H may use benchmark mechanism knowledge,KEEP_AS_IS,Development-informed H is scientifically disclosed and remains the sole comparator,Preserve H definition and implementation,false,false,false
S1_Handcrafted_Challenger_Contract_Draft_v0.1.md,H freeze timing,No post-D/E feature change,Freeze all H choices at PRIMARY_FREEZE_POINT,WORDING_UPDATE_ONLY,Logic is unchanged; terminology should name the new prospective boundary,Add cross-reference in amendment only,true,false,true
S1_BDD_Statistical_Analysis_Plan_Draft_v0.1.md,Primary metric/operating point,"Delta BDD at fixed alpha, m, pi and one comparison",Primary choices freeze before V,KEEP_AS_IS,The anti-adaptation rule directly implements claim-relevant contamination control,Preserve metric and operating point,false,false,false
S1_BDD_Statistical_Analysis_Plan_Draft_v0.1.md,Paired/unpaired boundary,Unpaired preferred; paired fallback has reduced claim,Exposure correction alone does not alter design estimands,KEEP_AS_IS,Dependence and estimand differences remain,Preserve; any switch still requires Owner amendment,false,false,false
S1_BDD_Statistical_Analysis_Plan_Draft_v0.1.md,E disjointness,E disjoint from all U/Q/D logs,C should be untouched; V need only be free of claim-relevant adaptation,OWNER_AMENDMENT_REQUIRED,Complete historical disjointness is stronger than Claim B requires,Split V controlled evaluation from C confirmatory robustness,true,false,true
S1_BDD_Statistical_Analysis_Plan_Draft_v0.1.md,Cluster-aware inference,Log/source dependence retained in bootstrap,SESSION remains statistical cluster,KEEP_AS_IS,Exposure eligibility and dependence are distinct,Strengthen SESSION wording without changing method,false,false,false
S1_Secondary_Diagnostics_SAP_Draft_v0.1.md,Secondary non-veto diagnostics,Diagnostics cannot replace Primary or select encoder,No role correction changes diagnostic hierarchy,KEEP_AS_IS,Protects the Primary from favorable secondary substitution,Preserve verbatim,false,false,false
S1_Data_Firewall_Draft_v0.1.json,U role and encoder selection,U solely selects encoder,U meaning is preserved,KEEP_AS_IS,This is the strongest claim-relevant firewall,Preserve structured fields,false,false,false
S1_Data_Firewall_Draft_v0.1.json,Q/D/E roles,"Fresh Q, converted D, untouched E",Use U/B/V/C with contamination tied to decision use,DEPRECATE_AND_REPLACE,Old roles conflate benchmark engineering exposure with Primary-method contamination,Owner-approved replacement schema required,true,false,true
S1_Canonical_Schema_Draft_v0.1.json,Scientific trace schema,"Canonical identity, trace and outcome fields",Data role correction does not alter trace semantics,KEEP_AS_IS,Exposure taxonomy is governance metadata,Preserve scientific fields,false,false,false
S1_Canonical_Schema_Draft_v0.1.json,Role vocabulary,Q/D/E-bound role values,Schema must encode B/V/C and exposure taxonomy,OWNER_AMENDMENT_REQUIRED,Future manifests need unambiguous prospective roles,Add versioned role extension; do not rewrite v0.1,true,false,true
S1_Protocol_Design_Report_v0.1.md,Historical S1 conclusion,S1 frozen under strict prospective firewall,Historical record remains correct,KEEP_AS_IS,A later conceptual correction does not invalidate the recorded audit,Preserve; cite from S1R addendum,false,false,false
S1_Protocol_Design_Manifest_v0.1.json,Artifact hashes and approvals,Binds frozen S1 package,Must remain immutable,KEEP_AS_IS,Amendment requires a new manifest rather than hash rewrites,Preserve byte-for-byte,false,false,false
S1_Protocol_Design_Manifest_v0.1.json,Q contract/data roles,Q20 strict freshness and Q-to-D,Prospective amendment must supersede role semantics,OWNER_AMENDMENT_REQUIRED,Manifest is normative and cannot be changed indirectly,Create separate Owner-approved amendment manifest,true,false,true
S2_Preflight_Eligibility_Report_v1.md,243-session conflict capacity,Old strict firewall leaves upper bound five,Historical result remains correct under old policy,KEEP_AS_IS,Do not rewrite historical counts,Relabel only in new S1R interpretation,false,false,false
S2_Preflight_Readiness_Report_v1.md,S2 blocker,Blocked by Q20 capacity plus engineering bindings,Capacity component becomes historical after amendment; engineering blocks remain,OWNER_AMENDMENT_REQUIRED,New exposure policy changes future eligibility but not reset/execution readiness,Before amendment keep blocker active; after amendment rerun preflight,true,false,true
S2_Capacity_Recovery_Report_v1.md,No fresh external reservoir,No new raw fresh source found,Discovery fact remains true,KEEP_AS_IS,Role correction does not create new source files,Preserve as historical discovery,false,false,false
S2_Capacity_Recovery_Report_v1.md,Capacity interpretation,No strict-fresh capacity recovery,Does not equal no controlled-V capacity,WORDING_UPDATE_ONLY,Same counts answer a different scientific question,Use S1R addendum; do not edit report,true,false,true
handover0917.md,Current protocol entry,S1 frozen; S2-PRE next under U/Q/D/E,Now stale relative to completed S2-PRE and proposed correction,WORDING_UPDATE_ONLY,Handover should point to S1R but is not the amendment itself,Update only after Owner disposition,true,false,true
