representation,readout,kernel,bandwidth,reference,label_blind,evidence_level
B_seed3409,R_full64,RBF,5.296507076463212,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,R_linear_task,RBF,0.34310855037596577,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,R_fixed_semantic,RBF,24.337548568067973,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,R_full64,RBF,5.4962017920129,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,R_linear_task,RBF,0.18329881147815685,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,R_fixed_semantic,RBF,24.313380860378444,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,R_full64,RBF,5.306404469520171,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,R_linear_task,RBF,0.3127712980891206,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,R_fixed_semantic,RBF,24.4623717263706,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,R_full64,RBF,5.448096578057113,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,R_linear_task,RBF,0.18134852508614152,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,R_fixed_semantic,RBF,24.292603189443867,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
