dose,dose_role,representation,candidate,seed,proxy_variable,proxy_provenance,association_model,n_rows,n_log_clusters,n_classes,grouped_balanced_accuracy,grouped_majority_baseline_balanced_accuracy,execution_status,formal_hypothesis_status,interpretation,evidence_level
dose0,PRIMARY,A_seed3408,A,3408,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3409,A,3409,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3407,B,3407,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3408,B,3408,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3409,B,3409,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3407,C,3407,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3408,C,3408,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3409,C,3409,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,old64,old64,NOT_APPLICABLE,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.5878442545109211,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3407,A,3407,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.5631528964862298,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3408,A,3408,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4753086419753087,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3409,A,3409,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.6258309591642924,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3407,B,3407,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.7507122507122507,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3408,B,3408,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.6619183285849952,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3409,B,3409,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.6885090218423552,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3407,C,3407,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.7625830959164293,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3408,C,3408,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.7739791073124406,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3409,C,3409,initial_speed_bin,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.7872744539411206,0.2231718898385565,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,old64,old64,NOT_APPLICABLE,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4501424501424502,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3407,A,3407,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4990503323836657,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3408,A,3408,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.47578347578347574,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3409,A,3409,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4506172839506173,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3407,B,3407,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4634377967711301,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3408,B,3408,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4264007597340931,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3409,B,3409,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.5,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3407,C,3407,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4634377967711301,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3408,C,3408,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.43779677113010446,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3409,C,3409,traffic_density,DERIVED_DESCRIPTIVE_TERTILE,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,3,0.4506172839506173,0.23789173789173787,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,old64,old64,NOT_APPLICABLE,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.9435897435897436,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3407,A,3407,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.858974358974359,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3408,A,3408,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.8769230769230769,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3409,A,3409,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.8512820512820513,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3407,B,3407,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.735897435897436,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3408,B,3408,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.7846153846153846,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3409,B,3409,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.7692307692307692,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3407,C,3407,lane_change_direction,FROZEN_SOURCE_LEDGER,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,2,0.6461538461538462,0.5,COMPUTED_DESCRIPTIVE,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
