global_row,shard_id,local_row,split
127103,27,853,test
117747,24,3299,test
159754,33,3482,test
16172,3,1166,test
158171,33,1899,test
5811,1,809,test
63160,13,458,test
1413,0,1413,test
73369,15,648,test
4316,0,4316,test
46705,9,4033,test
18617,3,3611,test
127779,27,1529,test
118145,24,3697,test
3861,0,3861,test
12628,2,2622,test
42242,8,2214,test
87272,18,2849,test
13615,2,3609,test
72462,14,4752,test
154328,32,3057,test
7706,1,2704,test
103277,21,3846,test
37157,7,2138,test
94248,19,4821,test
28648,5,3631,test
112304,23,2865,test
48547,10,862,test
151020,31,4750,test
142796,30,1527,test
48991,10,1306,test
30114,6,96,test
46941,9,4269,test
136084,28,4833,test
34689,6,4671,test
52144,10,4459,test
150764,31,4494,test
79087,16,1366,test
104448,22,16,test
106285,22,1853,test
59084,12,1395,test
151496,32,225,test
129081,27,2831,test
158792,33,2520,test
156579,33,307,test
125832,26,1379,test
64672,13,1970,test
33642,6,3624,test
102581,21,3150,test
56341,11,3654,test
122451,25,3002,test
85699,18,1276,test
29262,5,4245,test
27800,5,2783,test
155678,32,4407,test
70507,14,2797,test
57168,11,4481,test
111207,23,1768,test
89012,18,4589,test
142767,30,1498,test
57925,12,236,test
141420,30,151,test
129773,27,3523,test
78835,16,1114,test
136857,29,604,test
22027,4,2021,test
66796,13,4094,test
143288,30,2019,test
54818,11,2131,test
94449,20,22,test
2378,0,2378,test
86899,18,2476,test
59083,12,1394,test
136664,29,411,test
20726,4,720,test
48889,10,1204,test
91293,19,1866,test
136004,28,4753,test
73807,15,1086,test
160326,33,4054,test
63391,13,689,test
3162,0,3162,test
151971,32,700,test
28437,5,3420,test
149276,31,3006,test
86833,18,2410,test
52442,10,4757,test
42384,8,2356,test
58618,12,929,test
27432,5,2415,test
64675,13,1973,test
127041,27,791,test
23578,4,3572,test
82613,16,4892,test
110945,23,1506,test
62754,13,52,test
5243,1,241,test
133094,28,1843,test
13940,2,3934,test
6553,1,1551,test
29381,5,4364,test
110643,23,1204,test
74809,15,2088,test
52334,10,4649,test
151497,32,226,test
136661,29,408,test
143301,30,2032,test
86519,18,2096,test
133091,28,1840,test
13705,2,3699,test
46907,9,4235,test
78170,16,449,test
91756,19,2329,test
94451,20,24,test
23379,4,3373,test
160068,33,3796,test
98624,20,4197,test
151488,32,217,test
45893,9,3221,test
108914,22,4482,test
86672,18,2249,test
77847,16,126,test
75638,15,2917,test
61177,12,3488,test
81498,16,3777,test
86308,18,1885,test
7616,1,2614,test
54838,11,2151,test
149781,31,3511,test
107898,22,3466,test
164536,34,3256,test
99049,20,4622,test
114483,24,35,test
38801,7,3782,test
25243,5,226,test
58679,12,990,test
3,0,3,test
54819,11,2132,test
73607,15,886,test
148880,31,2610,test
58238,12,549,test
71681,14,3971,test
48899,10,1214,test
80072,16,2351,test
119877,25,428,test
136574,29,321,test
47195,9,4523,test
27279,5,2262,test
2361,0,2361,test
116216,24,1768,test
129203,27,2953,test
80660,16,2939,test
42103,8,2075,test
164537,34,3257,test
1514,0,1514,test
5812,1,810,test
164099,34,2819,test
48639,10,954,test
142543,30,1274,test
2370,0,2370,test
74950,15,2229,test
56763,11,4076,test
126343,27,93,test
92129,19,2702,test
164539,34,3259,test
43933,9,1261,test
158789,33,2517,test
104915,22,483,test
163405,34,2125,test
126879,27,629,test
137842,29,1589,test
131869,28,618,test
81678,16,3957,test
129202,27,2952,test
109512,23,73,test
72560,14,4850,test
99647,21,216,test
118413,24,3965,test
41945,8,1917,test
85241,18,818,test
89489,19,62,test
87747,18,3324,test
5404,1,402,test
76781,15,4060,test
127019,27,769,test
101797,21,2366,test
143455,30,2186,test
51940,10,4255,test
106950,22,2518,test
70528,14,2818,test
45089,9,2417,test
111071,23,1632,test
111739,23,2300,test
162369,34,1089,test
47919,10,234,test
81992,16,4271,test
105877,22,1445,test
48377,10,692,test
48763,10,1078,test
158861,33,2589,test
96684,20,2257,test
48238,10,553,test
56656,11,3969,test
81186,16,3465,test
97785,20,3358,test
35865,7,846,test
89668,19,241,test
39862,7,4843,test
97556,20,3129,test
140876,29,4623,test
29389,5,4372,test
153266,32,1995,test
98571,20,4144,test
95788,20,1361,test
145991,30,4722,test
163749,34,2469,test
62668,12,4979,test
123195,25,3746,test
157699,33,1427,test
150136,31,3866,test
85594,18,1171,test
98009,20,3582,test
99338,20,4911,test
98057,20,3630,test
70629,14,2919,test
44902,9,2230,test
50379,10,2694,test
37943,7,2924,test
95721,20,1294,test
34822,6,4804,test
80497,16,2776,test
27874,5,2857,test
151978,32,707,test
5816,1,814,test
48894,10,1209,test
80443,16,2722,test
57766,12,77,test
41565,8,1537,test
65670,13,2968,test
39863,7,4844,test
102783,21,3352,test
77283,15,4562,test
16038,3,1032,test
148578,31,2308,test
44681,9,2009,test
6229,1,1227,test
101054,21,1623,test
19892,3,4886,test
90648,19,1221,test
61956,12,4267,test
38767,7,3748,test
72565,14,4855,test
104499,22,67,test
94944,20,517,test
154710,32,3439,test
118,0,118,test
148881,31,2611,test
139045,29,2792,test
48762,10,1077,test
98578,20,4151,test
18498,3,3492,test
137282,29,1029,test
50593,10,2908,test
146185,30,4916,test
112334,23,2895,test
27518,5,2501,test
80071,16,2350,test
127588,27,1338,test
146822,31,552,test
157375,33,1103,test
31650,6,1632,test
120016,25,567,test
142501,30,1232,test
7322,1,2320,test
121875,25,2426,test
115055,24,607,test
48893,10,1208,test
43697,9,1025,test
102986,21,3555,test
44364,9,1692,test
109493,23,54,test
92126,19,2699,test
145907,30,4638,test
63550,13,848,test
53416,11,729,test
143290,30,2021,test
163535,34,2255,test
66384,13,3682,test
2175,0,2175,test
8509,1,3507,test
81336,16,3615,test
134867,28,3616,test
151983,32,712,test
102646,21,3215,test
80080,16,2359,test
88206,18,3783,test
124555,26,102,test
81445,16,3724,test
22732,4,2726,test
138538,29,2285,test
157698,33,1426,test
22478,4,2472,test
85695,18,1272,test
17250,3,2244,test
145988,30,4719,test
40634,8,606,test
85140,18,717,test
84087,17,1357,test
136435,29,182,test
156860,33,588,test
58089,12,400,test
43093,9,421,test
46473,9,3801,test
48824,10,1139,test
163575,34,2295,test
144024,30,2755,test
14905,2,4899,test
5821,1,819,test
92358,19,2931,test
88842,18,4419,test
92127,19,2700,test
73809,15,1088,test
118892,24,4444,test
13255,2,3249,test
101637,21,2206,test
104953,22,521,test
151953,32,682,test
109328,22,4896,test
97243,20,2816,test
137267,29,1014,test
147890,31,1620,test
63462,13,760,test
26452,5,1435,test
2179,0,2179,test
19964,3,4958,test
107757,22,3325,test
68636,14,926,test
126552,27,302,test
13948,2,3942,test
53987,11,1300,test
17107,3,2101,test
91415,19,1988,test
55798,11,3111,test
110638,23,1199,test
43940,9,1268,test
155695,32,4424,test
105883,22,1451,test
134696,28,3445,test
63549,13,847,test
24013,4,4007,test
81599,16,3878,test
150323,31,4053,test
71467,14,3757,test
55512,11,2825,test
73208,15,487,test
29634,5,4617,test
164689,34,3409,test
23920,4,3914,test
52380,10,4695,test
75621,15,2900,test
59618,12,1929,test
91748,19,2321,test
150725,31,4455,test
162967,34,1687,test
31728,6,1710,test
13614,2,3608,test
117436,24,2988,test
148709,31,2439,test
132173,28,922,test
30118,6,100,test
52786,11,99,test
15566,3,560,test
162982,34,1702,test
81681,16,3960,test
127094,27,844,test
72559,14,4849,test
156399,33,127,test
55639,11,2952,test
75420,15,2699,test
119752,25,303,test
88886,18,4463,test
64523,13,1821,test
135706,28,4455,test
102302,21,2871,test
158448,33,2176,test
75620,15,2899,test
17471,3,2465,test
107896,22,3464,test
61501,12,3812,test
104950,22,518,test
48668,10,983,test
17097,3,2091,test
81450,16,3729,test
145421,30,4152,test
33683,6,3665,test
23763,4,3757,test
52001,10,4316,test
19966,3,4960,test
123493,25,4044,test
85420,18,997,test
32088,6,2070,test
85271,18,848,test
46943,9,4271,test
8242,1,3240,test
163397,34,2117,test
79088,16,1367,test
138512,29,2259,test
12808,2,2802,test
122237,25,2788,test
15150,3,144,test
123975,25,4526,test
128074,27,1824,test
20488,4,482,test
98005,20,3578,test
43690,9,1018,test
141322,30,53,test
108908,22,4476,test
42257,8,2229,test
98686,20,4259,test
56161,11,3474,test
129435,27,3185,test
117739,24,3291,test
70114,14,2404,test
74272,15,1551,test
5728,1,726,test
132818,28,1567,test
125757,26,1304,test
77541,15,4820,test
132613,28,1362,test
34534,6,4516,test
34865,6,4847,test
110017,23,578,test
135628,28,4377,test
44907,9,2235,test
150936,31,4666,test
125763,26,1310,test
74046,15,1325,test
27431,5,2414,test
37635,7,2616,test
111231,23,1792,test
87534,18,3111,test
18170,3,3164,test
5403,1,401,test
50315,10,2630,test
104944,22,512,test
159,0,159,test
89174,18,4751,test
102641,21,3210,test
122262,25,2813,test
74684,15,1963,test
73611,15,890,test
108513,22,4081,test
11086,2,1080,test
159291,33,3019,test
66844,13,4142,test
75729,15,3008,test
102543,21,3112,test
33653,6,3635,test
149473,31,3203,test
62753,13,51,test
33519,6,3501,test
12619,2,2613,test
74051,15,1330,test
85383,18,960,test
136290,29,37,test
144518,30,3249,test
49173,10,1488,test
152265,32,994,test
136081,28,4830,test
11671,2,1665,test
60456,12,2767,test
127040,27,790,test
150943,31,4673,test
53418,11,731,test
70129,14,2419,test
24555,4,4549,test
102941,21,3510,test
151482,32,211,test
37673,7,2654,test
93563,19,4136,test
70424,14,2714,test
43021,9,349,test
75126,15,2405,test
54863,11,2176,test
133041,28,1790,test
144023,30,2754,test
144194,30,2925,test
66129,13,3427,test
145275,30,4006,test
66141,13,3439,test
67726,14,16,test
11078,2,1072,test
42326,8,2298,test
88848,18,4425,test
5405,1,403,test
146184,30,4915,test
139038,29,2785,test
81388,16,3667,test
119711,25,262,test
77901,16,180,test
119806,25,357,test
132684,28,1433,test
51937,10,4252,test
91416,19,1989,test
150207,31,3937,test
97240,20,2813,test
3615,0,3615,test
74812,15,2091,test
109427,22,4995,test
128450,27,2200,test
88173,18,3750,test
70132,14,2422,test
6637,1,1635,test
32068,6,2050,test
159296,33,3024,test
115588,24,1140,test
131441,28,190,test
85209,18,786,test
152432,32,1161,test
74773,15,2052,test
88537,18,4114,test
85783,18,1360,test
87893,18,3470,test
34651,6,4633,test
56987,11,4300,test
41226,8,1198,test
122812,25,3363,test
55131,11,2444,test
51972,10,4287,test
26784,5,1767,test
16417,3,1411,test
69813,14,2103,test
154687,32,3416,test
137715,29,1462,test
67645,13,4943,test
84160,17,1430,test
50573,10,2888,test
1377,0,1377,test
43781,9,1109,test
40394,8,366,test
133020,28,1769,test
9638,1,4636,test
33654,6,3636,test
149187,31,2917,test
69992,14,2282,test
137609,29,1356,test
98573,20,4146,test
31308,6,1290,test
46708,9,4036,test
106116,22,1684,test
95709,20,1282,test
43892,9,1220,test
25175,5,158,test
110642,23,1203,test
134857,28,3606,test
60975,12,3286,test
57769,12,80,test
80662,16,2941,test
71988,14,4278,test
82936,17,206,test
59984,12,2295,test
28563,5,3546,test
128072,27,1822,test
60363,12,2674,test
118147,24,3699,test
21775,4,1769,test
94543,20,116,test
103360,21,3929,test
55860,11,3173,test
22300,4,2294,test
148370,31,2100,test
93881,19,4454,test
25240,5,223,test
162725,34,1445,test
98642,20,4215,test
37053,7,2034,test
163008,34,1728,test
166,0,166,test
15407,3,401,test
57768,12,79,test
120469,25,1020,test
155802,32,4531,test
24466,4,4460,test
139658,29,3405,test
72459,14,4749,test
78834,16,1113,test
37152,7,2133,test
109503,23,64,test
903,0,903,test
11841,2,1835,test
17100,3,2094,test
24339,4,4333,test
46250,9,3578,test
102779,21,3348,test
96068,20,1641,test
74739,15,2018,test
151664,32,393,test
14083,2,4077,test
104482,22,50,test
151974,32,703,test
137612,29,1359,test
96733,20,2306,test
46204,9,3532,test
675,0,675,test
88210,18,3787,test
156401,33,129,test
65893,13,3191,test
150210,31,3940,test
36359,7,1340,test
7988,1,2986,test
60257,12,2568,test
8621,1,3619,test
42481,8,2453,test
72574,14,4864,test
75424,15,2703,test
149505,31,3235,test
88175,18,3752,test
38403,7,3384,test
114143,23,4704,test
59925,12,2236,test
140173,29,3920,test
151490,32,219,test
99056,20,4629,test
129437,27,3187,test
61959,12,4270,test
136571,29,318,test
101160,21,1729,test
8628,1,3626,test
2176,0,2176,test
7268,1,2266,test
48896,10,1211,test
20585,4,579,test
30042,6,24,test
29390,5,4373,test
8307,1,3305,test
160608,33,4336,test
102404,21,2973,test
162371,34,1091,test
31798,6,1780,test
29265,5,4248,test
45641,9,2969,test
46709,9,4037,test
40054,8,26,test
56164,11,3477,test
57715,12,26,test
38410,7,3391,test
131866,28,615,test
72457,14,4747,test
63953,13,1251,test
162090,34,810,test
35041,7,22,test
17101,3,2095,test
1498,0,1498,test
151494,32,223,test
8244,1,3242,test
42033,8,2005,test
64671,13,1969,test
2967,0,2967,test
70235,14,2525,test
50059,10,2374,test
35857,7,838,test
139518,29,3265,test
87275,18,2852,test
141419,30,150,test
43092,9,420,test
72858,15,137,test
133838,28,2587,test
10943,2,937,test
102995,21,3564,test
135436,28,4185,test
127024,27,774,test
154745,32,3474,test
98572,20,4145,test
2379,0,2379,test
160074,33,3802,test
26171,5,1154,test
118487,24,4039,test
74273,15,1552,test
95785,20,1358,test
132405,28,1154,test
151340,32,69,test
56525,11,3838,test
16985,3,1979,test
25481,5,464,test
108514,22,4082,test
88172,18,3749,test
154201,32,2930,test
75422,15,2701,test
158763,33,2491,test
78238,16,517,test
144233,30,2964,test
59606,12,1917,test
76125,15,3404,test
54764,11,2077,test
34356,6,4338,test
31455,6,1437,test
2377,0,2377,test
74741,15,2020,test
126386,27,136,test
88867,18,4444,test
85781,18,1358,test
111388,23,1949,test
25241,5,224,test
49045,10,1360,test
152428,32,1157,test
28031,5,3014,test
12262,2,2256,test
11262,2,1256,test
46207,9,3535,test
83173,17,443,test
58351,12,662,test
109519,23,80,test
8969,1,3967,test
61941,12,4252,test
147958,31,1688,test
40730,8,702,test
79499,16,1778,test
101796,21,2365,test
137288,29,1035,test
119153,24,4705,test
40635,8,607,test
94548,20,121,test
39181,7,4162,test
103,0,103,test
74267,15,1546,test
9694,1,4692,test
96685,20,2258,test
98063,20,3636,test
20489,4,483,test
124695,26,242,test
88630,18,4207,test
128473,27,2223,test
128504,27,2254,test
103367,21,3936,test
69367,14,1657,test
87280,18,2857,test
88900,18,4477,test
84570,18,147,test
40736,8,708,test
76036,15,3315,test
82618,16,4897,test
36332,7,1313,test
66132,13,3430,test
13257,2,3251,test
128324,27,2074,test
100516,21,1085,test
93571,19,4144,test
106070,22,1638,test
12630,2,2624,test
60759,12,3070,test
14865,2,4859,test
150691,31,4421,test
152433,32,1162,test
7860,1,2858,test
40641,8,613,test
57792,12,103,test
40831,8,803,test
136291,29,38,test
110835,23,1396,test
17329,3,2323,test
44946,9,2274,test
128736,27,2486,test
70419,14,2709,test
128737,27,2487,test
135710,28,4459,test
59463,12,1774,test
65276,13,2574,test
18084,3,3078,test
43692,9,1020,test
108564,22,4132,test
39182,7,4163,test
130432,27,4182,test
46372,9,3700,test
54152,11,1465,test
58265,12,576,test
158791,33,2519,test
53417,11,730,test
75428,15,2707,test
119251,24,4803,test
148699,31,2429,test
87742,18,3319,test
136308,29,55,test
161732,34,452,test
122735,25,3286,test
7704,1,2702,test
49833,10,2148,test
65442,13,2740,test
40830,8,802,test
148978,31,2708,test
101056,21,1625,test
52391,10,4706,test
152386,32,1115,test
79464,16,1743,test
156065,32,4794,test
76782,15,4061,test
70122,14,2412,test
127023,27,773,test
99585,21,154,test
43468,9,796,test
5100,1,98,test
106068,22,1636,test
28114,5,3097,test
163409,34,2129,test
54832,11,2145,test
18767,3,3761,test
162150,34,870,test
62827,13,125,test
57377,11,4690,test
97360,20,2933,test
150809,31,4539,test
61593,12,3904,test
155898,32,4627,test
73939,15,1218,test
52787,11,100,test
142800,30,1531,test
80527,16,2806,test
148368,31,2098,test
73758,15,1037,test
92569,19,3142,test
102988,21,3557,test
142799,30,1530,test
132407,28,1156,test
94442,20,15,test
114974,24,526,test
38792,7,3773,test
113269,23,3830,test
112335,23,2896,test
159953,33,3681,test
92155,19,2728,test
52656,10,4971,test
127689,27,1439,test
104481,22,49,test
93819,19,4392,test
21222,4,1216,test
118414,24,3966,test
89173,18,4750,test
150640,31,4370,test
129432,27,3182,test
137714,29,1461,test
46195,9,3523,test
108916,22,4484,test
35677,7,658,test
52140,10,4455,test
93873,19,4446,test
82297,16,4576,test
103365,21,3934,test
68085,14,375,test
142728,30,1459,test
36007,7,988,test
120351,25,902,test
57928,12,239,test
72575,14,4865,test
95793,20,1366,test
70339,14,2629,test
156726,33,454,test
83754,17,1024,test
95927,20,1500,test
28645,5,3628,test
131710,28,459,test
13239,2,3233,test
105717,22,1285,test
62750,13,48,test
146349,31,79,test
64158,13,1456,test
69623,14,1913,test
137138,29,885,test
61828,12,4139,test
11177,2,1171,test
98838,20,4411,test
2375,0,2375,test
11179,2,1173,test
115358,24,910,test
136002,28,4751,test
43462,9,790,test
162352,34,1072,test
42261,8,2233,test
122123,25,2674,test
100726,21,1295,test
54815,11,2128,test
82599,16,4878,test
48638,10,953,test
148253,31,1983,test
46158,9,3486,test
121487,25,2038,test
21252,4,1246,test
22031,4,2025,test
73206,15,485,test
70396,14,2686,test
5731,1,729,test
104449,22,17,test
142610,30,1341,test
154634,32,3363,test
60268,12,2579,test
42031,8,2003,test
110220,23,781,test
9731,1,4729,test
113686,23,4247,test
162804,34,1524,test
58693,12,1004,test
18282,3,3276,test
67674,13,4972,test
77846,16,125,test
82479,16,4758,test
85258,18,835,test
70627,14,2917,test
60966,12,3277,test
19149,3,4143,test
107107,22,2675,test
12814,2,2808,test
76046,15,3325,test
137840,29,1587,test
36718,7,1699,test
65416,13,2714,test
89165,18,4742,test
37150,7,2131,test
61723,12,4034,test
108318,22,3886,test
117940,24,3492,test
36006,7,987,test
147956,31,1686,test
38790,7,3771,test
42040,8,2012,test
60259,12,2570,test
57540,11,4853,test
10421,2,415,test
162355,34,1075,test
26803,5,1786,test
22611,4,2605,test
118403,24,3955,test
108770,22,4338,test
115875,24,1427,test
113683,23,4244,test
4427,0,4427,test
108,0,108,test
131491,28,240,test
158827,33,2555,test
136292,29,39,test
84935,18,512,test
49771,10,2086,test
71808,14,4098,test
47017,9,4345,test
84221,17,1491,test
128164,27,1914,test
44792,9,2120,test
87069,18,2646,test
162803,34,1523,test
76007,15,3286,test
137279,29,1026,test
57781,12,92,test
23759,4,3753,test
102644,21,3213,test
99181,20,4754,test
48890,10,1205,test
32218,6,2200,test
52422,10,4737,test
61937,12,4248,test
11090,2,1084,test
67028,13,4326,test
102326,21,2895,test
163186,34,1906,test
132402,28,1151,test
129431,27,3181,test
134722,28,3471,test
86013,18,1590,test
113667,23,4228,test
21227,4,1221,test
132180,28,929,test
75502,15,2781,test
52892,11,205,test
14645,2,4639,test
88211,18,3788,test
163750,34,2470,test
82940,17,210,test
163284,34,2004,test
2177,0,2177,test
160584,33,4312,test
121180,25,1731,test
95025,20,598,test
39659,7,4640,test
146884,31,614,test
112300,23,2861,test
26159,5,1142,test
67027,13,4325,test
32706,6,2688,test
2391,0,2391,test
155900,32,4629,test
41100,8,1072,test
14321,2,4315,test
125868,26,1415,test
105492,22,1060,test
102613,21,3182,test
12850,2,2844,test
116239,24,1791,test
144890,30,3621,test
112337,23,2898,test
102730,21,3299,test
155901,32,4630,test
95789,20,1362,test
162726,34,1446,test
91294,19,1867,test
12824,2,2818,test
145333,30,4064,test
109429,22,4997,test
81600,16,3879,test
4788,0,4788,test
122129,25,2680,test
162262,34,982,test
84091,17,1361,test
63387,13,685,test
163912,34,2632,test
134856,28,3605,test
136572,29,319,test
9190,1,4188,test
55801,11,3114,test
147954,31,1684,test
134697,28,3446,test
141027,29,4774,test
146141,30,4872,test
20589,4,583,test
98035,20,3608,test
38793,7,3774,test
150688,31,4418,test
9365,1,4363,test
120424,25,975,test
43939,9,1267,test
163743,34,2463,test
118306,24,3858,test
133279,28,2028,test
53128,11,441,test
58239,12,550,test
130679,27,4429,test
37639,7,2620,test
122713,25,3264,test
115591,24,1143,test
58692,12,1003,test
4958,0,4958,test
78462,16,741,test
50894,10,3209,test
60694,12,3005,test
46249,9,3577,test
58264,12,575,test
89171,18,4748,test
42268,8,2240,test
144516,30,3247,test
60762,12,3073,test
125863,26,1410,test
146504,31,234,test
138510,29,2257,test
69804,14,2094,test
141323,30,54,test
3395,0,3395,test
12836,2,2830,test
42258,8,2230,test
68245,14,535,test
128913,27,2663,test
45305,9,2633,test
41217,8,1189,test
20566,4,560,test
107314,22,2882,test
21225,4,1219,test
113671,23,4232,test
160513,33,4241,test
118804,24,4356,test
162325,34,1045,test
3724,0,3724,test
163285,34,2005,test
54035,11,1348,test
148514,31,2244,test
150206,31,3936,test
157890,33,1618,test
42876,9,204,test
69101,14,1391,test
118490,24,4042,test
2392,0,2392,test
142734,30,1465,test
15896,3,890,test
78961,16,1240,test
63388,13,686,test
124224,25,4775,test
36677,7,1658,test
163403,34,2123,test
87890,18,3467,test
26453,5,1436,test
5233,1,231,test
137287,29,1034,test
110836,23,1397,test
27910,5,2893,test
6642,1,1640,test
134689,28,3438,test
87228,18,2805,test
29890,5,4873,test
138420,29,2167,test
105305,22,873,test
26250,5,1233,test
13498,2,3492,test
111747,23,2308,test
130672,27,4422,test
88882,18,4459,test
33655,6,3637,test
56137,11,3450,test
60617,12,2928,test
102942,21,3511,test
134638,28,3387,test
157,0,157,test
78339,16,618,test
104912,22,480,test
77286,15,4565,test
77906,16,185,test
54131,11,1444,test
43506,9,834,test
962,0,962,test
94240,19,4813,test
87063,18,2640,test
56733,11,4046,test
151489,32,218,test
60277,12,2588,test
3400,0,3400,test
81411,16,3690,test
5814,1,812,test
29633,5,4616,test
76770,15,4049,test
51363,10,3678,test
145443,30,4174,test
54897,11,2210,test
67932,14,222,test
33659,6,3641,test
43934,9,1262,test
18256,3,3250,test
57930,12,241,test
60366,12,2677,test
119151,24,4703,test
105907,22,1475,test
53982,11,1295,test
