residual_family,context_variable,proposal_status,exact_source,unit,coordinate_frame,time_window,aggregation,missingness_rule,slot_validity_rule,map_query_rule,numerical_precision,eligibility_use,prospective_exact_parity,historical_r0_parity,owner_decision
R-TSB,context.map_location,DRAFT_PROPOSAL,official scenario log map_name resolved from DB log.map_version or cached log map string,canonical category,not applicable,t_anchor,exact canonical string,missing map name is pre-rollout exclusion,not applicable,no geometry query required,exact string,block and exact category match,YES_IF_SOURCE_LOG_BOUND_BEFORE_ROSTER_FREEZE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.road_class,DRAFT_PROPOSAL,map API current lane or connector object at ego rear axle,enumerated category,current-lane Frenet at t_anchor,t_anchor,current_layer__roadblock_type__route_relation,missing lane object or ambiguous roadblock relation is pre-rollout exclusion,not applicable,query SemanticMapLayer.LANE then LANE_CONNECTOR only when lane query is null; bind object ID and map version,exact enum,exact category match,YES_IF_MAP_OBJECT_ID_AND_QUERY_VERSION_FROZEN,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.log_id,DRAFT_PROPOSAL,official scenario DB log_name or immutable log token,identifier,not applicable,t_anchor,exact immutable identifier,missing log identifier is pre-rollout exclusion,not applicable,no geometry query required,exact string,cluster block only; no cross-log substitution,YES_IF_LOG_ID_IN_ROSTER_MANIFEST,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.initial_speed_mps,DRAFT_PROPOSAL,official original replay ego speed from history buffer,m/s,current-lane Frenet frame,T_PRE_CONTEXT,median of 10 valid frames,any missing or nonfinite required frame is pre-rollout exclusion,not applicable,require unique current-lane projection for all frames,0.001 m/s,numeric Context_match value,YES_IF_OFFICIAL_HISTORY_AVAILABLE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.initial_front_gap_m,DRAFT_PROPOSAL,official original replay front semantic-slot track,m,current-lane route arc relative to ego,T_PRE_CONTEXT,median positive arc separation across valid frames,front slot absent in more than 2 frames or nonpositive separation is pre-rollout exclusion,front slot must have one stable track ID across its valid frames and lane-aware assignment success,query frozen current-lane centerline and uniquely project ego plus front object,0.01 m,numeric Context_match value,YES_IF_FRONT_TRACK_AND_MAP_PROJECTION_AVAILABLE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.initial_lead_relative_speed_mps,DRAFT_PROPOSAL,official original replay ego and front semantic-slot velocities,m/s,current-lane tangent direction,T_PRE_CONTEXT,median of lead longitudinal velocity minus ego longitudinal velocity across valid frames,front slot absent in more than 2 frames or nonfinite velocity is pre-rollout exclusion,front slot stability and lane-aware assignment follow initial_front_gap_m,query current-lane tangent at both projections; project velocity onto tangent,0.001 m/s,numeric Context_match value,YES_IF_FRONT_TRACK_AND_MAP_PROJECTION_AVAILABLE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.initial_thw_s,DRAFT_PROPOSAL,derived only from proposed initial_front_gap_m and ego speed,s,current-lane route arc,T_PRE_CONTEXT,median of framewise front_gap divided by ego_speed for valid frames,ego speed below 1.0 m/s or invalid front gap in more than 2 frames is pre-rollout exclusion,front slot stability and lane-aware assignment follow initial_front_gap_m,uses the same unique current-lane projections as initial_front_gap_m; no 999 cap or whole-window summary,0.001 s,numeric Context_match value,YES_IF_FRONT_TRACK_SPEED_AND_MAP_PROJECTION_AVAILABLE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.traffic_density,DRAFT_PROPOSAL,official original replay tracked dynamic vehicles and map lane objects,count,current lane plus immediate adjacent lane corridor,T_PRE_CONTEXT,median per-frame count of unique valid vehicle track tokens within 50 m projected route distance,missing track token or failed required lane projection is pre-rollout exclusion,vehicle must be valid and have unique lane projection in every counted frame,query current lane and native adjacent lane IDs from frozen map version; include only those lanes,integer,numeric Context_match value,YES_IF_TRACK_HISTORY_AND_MAP_QUERY_FROZEN,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.neighbor_availability_pattern,DRAFT_PROPOSAL,official original replay tracks passed through tools.stage5d_context_core.assign_stage5d_slots,5-bit pattern,ego-centric semantic slots,T_PRE_CONTEXT,slot bit is one only if valid in at least 8 of 10 frames; bits ordered front__left_front__left_rear__right_front__right_rear,any frame requiring geometric fallback or an unresolved lane relation is pre-rollout exclusion,slot requires valid tracked object and lane-aware semantic assignment; no slot-ID interpolation,require map lane query success for all 10 frames; geometric fallback prohibited for exact R1 parity,exact bit pattern,exact category match and audit covariate,YES_IF_STAGE5D_LANE_AWARE_ASSIGNMENT_SUCCEEDS,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-TSB,context.planned_stop_or_hazard_class,DRAFT_PROPOSAL,pre-treatment route roadblock sequence plus official traffic-light state and current tracked lead state,enumerated category,route arc and map objects at t_anchor,t_anchor,RED_OR_YELLOW_ROUTE_SIGNAL__STATIC_STOP_CONTROL_AHEAD__OBSERVED_SLOW_LEAD__NONE_OBSERVED,unavailable route signal state or ambiguous route relation is pre-rollout exclusion; scenario_type labels are not an allowed substitute,observed slow lead requires valid front slot in at least 8 of 10 frames,query traffic lights and stop-control map objects on frozen route within 60 m forward route arc; use official state at t_anchor only,exact enum,exact category match,YES_IF_ROUTE_AND_SIGNAL_API_EXPOSE_PRETREATMENT_STATE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
