hypothesis_id,module,primary_metric,minimum_effect_or_gate,ci_rule,multiplicity_family,seed_rule,evidence_requirement,supported_rule,not_supported_rule,mixed_rule,inconclusive_rule,not_evaluable_rule,blocks_rbr_A,blocks_rbr_B,blocks_rbr_C,fallback_id
D2_SHORTCUT_RISK,D2,predeclared matched/shuffle/ablation contrast,D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D2,>=2/3 fixed seeds when replicated,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D2_ABLATION_OOD_RISK,D2,predeclared matched/shuffle/ablation contrast,D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D2,>=2/3 fixed seeds when replicated,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D3_FULL64_SIGNAL_DILUTION,D3,full64 versus frozen projected readout effect,"fixed RBF kernel; treatment-label-blind median bandwidth; ranks {1,2,4,8,16}; smallest rank within 1 SE after retention and calibration gates","95% log-cluster CI; BCa when estimable, declared percentile fallback",D3,>=2/3 fixed seeds direction-consistent,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,"analysis evaluable and the frozen primary gate is met: fixed RBF kernel; treatment-label-blind median bandwidth; ranks {1,2,4,8,16}; smallest rank within 1 SE after retention and calibration gates",analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D3_PROJECTED_READOUT_GAIN,D3,full64 versus frozen projected readout effect,"fixed RBF kernel; treatment-label-blind median bandwidth; ranks {1,2,4,8,16}; smallest rank within 1 SE after retention and calibration gates","95% log-cluster CI; BCa when estimable, declared percentile fallback",D3,>=2/3 fixed seeds direction-consistent,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,"analysis evaluable and the frozen primary gate is met: fixed RBF kernel; treatment-label-blind median bandwidth; ranks {1,2,4,8,16}; smallest rank within 1 SE after retention and calibration gates",analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D3_NULL_CALIBRATION_PRESERVED,D3,empirical null false-positive rate,nominal FPR=0.05 and two-sided 95% CI upper <= 0.075; insufficient independent null units is INCONCLUSIVE,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D3,>=2/3 fixed seeds direction-consistent,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: nominal FPR=0.05 and two-sided 95% CI upper <= 0.075; insufficient independent null units is INCONCLUSIVE,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D4_DESCRIPTOR_EQUIVALENCE_R_HLC,D4,family-specific primary F_match balance,all frozen primary F_match absolute pair differences within 0.10 x frozen robust-IQR caliper; development feasibility only,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,not applicable to deterministic matching contract,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: all frozen primary F_match absolute pair differences within 0.10 x frozen robust-IQR caliper; development feasibility only,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_MECHANISM_DIFFERENCE_R_HLC,D4,family-specific M_behavior mechanism contrast,predeclared whole-roster mechanism estimate with no outcome-driven pair removal,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,>=2/3 fixed seeds when applicable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: predeclared whole-roster mechanism estimate with no outcome-driven pair removal,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_OUTCOME_BLIND_FEASIBILITY_R_HLC,D4,outcome-blind feasibility ledger,"pre-treatment eligibility, runnability, family coverage and power ledger complete; no representation/BDD/probe outcome used","95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,not applicable to deterministic feasibility ledger,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,"analysis evaluable and the frozen primary gate is met: pre-treatment eligibility, runnability, family coverage and power ledger complete; no representation/BDD/probe outcome used",analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_DESCRIPTOR_EQUIVALENCE_R_TSB,D4,family-specific primary F_match balance,all frozen primary F_match absolute pair differences within 0.10 x frozen robust-IQR caliper; development feasibility only,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,not applicable to deterministic matching contract,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: all frozen primary F_match absolute pair differences within 0.10 x frozen robust-IQR caliper; development feasibility only,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_MECHANISM_DIFFERENCE_R_TSB,D4,family-specific M_behavior mechanism contrast,predeclared whole-roster mechanism estimate with no outcome-driven pair removal,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,>=2/3 fixed seeds when applicable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: predeclared whole-roster mechanism estimate with no outcome-driven pair removal,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_OUTCOME_BLIND_FEASIBILITY_R_TSB,D4,outcome-blind feasibility ledger,"pre-treatment eligibility, runnability, family coverage and power ledger complete; no representation/BDD/probe outcome used","95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,not applicable to deterministic feasibility ledger,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,"analysis evaluable and the frozen primary gate is met: pre-treatment eligibility, runnability, family coverage and power ledger complete; no representation/BDD/probe outcome used",analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_DESCRIPTOR_EQUIVALENCE_R_IP,D4,family-specific primary F_match balance,all frozen primary F_match absolute pair differences within 0.10 x frozen robust-IQR caliper; development feasibility only,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,not applicable to deterministic matching contract,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: all frozen primary F_match absolute pair differences within 0.10 x frozen robust-IQR caliper; development feasibility only,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_MECHANISM_DIFFERENCE_R_IP,D4,family-specific M_behavior mechanism contrast,predeclared whole-roster mechanism estimate with no outcome-driven pair removal,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,>=2/3 fixed seeds when applicable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: predeclared whole-roster mechanism estimate with no outcome-driven pair removal,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
D4_OUTCOME_BLIND_FEASIBILITY_R_IP,D4,outcome-blind feasibility ledger,"pre-treatment eligibility, runnability, family coverage and power ledger complete; no representation/BDD/probe outcome used","95% log-cluster CI; BCa when estimable, declared percentile fallback",D4,not applicable to deterministic feasibility ledger,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,"analysis evaluable and the frozen primary gate is met: pre-treatment eligibility, runnability, family coverage and power ledger complete; no representation/BDD/probe outcome used",analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,D4_DEVELOPMENT_BALANCE_FALLBACK_V1
