freeze_id,module,parameter_or_contract,value_or_candidate_set,how_value_may_be_chosen,data_allowed_for_choice,must_be_frozen_before,status,blocking,notes
N020,D1,semantic_probe_targets,TBD exact target list after ego13/schema verification,Predeclare target families,R0_DEVELOPMENT assets/schema,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,No Stage7L outcome-driven target selection.
N021,D1,information_retention_effect_thresholds,TBD,Physical/semantic relevance + dev uncertainty,R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,R2/MAE/rank correlation target-specific.
N022,D1,geometry_diagnostic_thresholds,Diagnostic only; TBD,"Descriptive thresholds only, never standalone gate",R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,NO,Effective rank cannot prove behavior information.
N030,D2,context_shuffle_matching_strata,TBD exact bins/features,Pre-treatment context/missingness only,R0_DEVELOPMENT metadata,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Preserve slot-valid/missingness marginals.
N031,D2,ablation_ood_threshold,TBD,Training-distribution quantile or predeclared distance rule,Training/R0_DEVELOPMENT embeddings only,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,OOD dominated => no attribution claim.
N040,D3,primary_kernel_family,TBD,Predeclared candidate(s); avoid audit outcome selection,R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Document multi-kernel multiplicity.
N041,D3,bandwidth_rule,TBD,Fit/derive from allowed development/null-calibration set only,R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,No audit/full-test bandwidth tuning.
N042,D3,projection_rank_candidates,TBD bounded set,Select via frozen development metric,R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Primary projection linear/low-rank.
N043,D3,projection_selection_metric,TBD,Predeclare without audit outcome,R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Representation vs readout claims stay separate.
N044,D3,null_calibration_split,TBD,Must be isolated from readout-fitting data as specified in SAP,R0_DEVELOPMENT partition,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Avoid calibration leakage.
N050,D4,F_match_feature_set,TBD after exact ego13/extended baseline audit,Scientific definition + physical rationale,R0_DEVELOPMENT / code schema,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Keep separate from M_behavior.
N051,D4,equivalence_margin_per_feature,TBD,Physical meaning -> measurement error -> business tolerance -> historical reference variability,R0_DEVELOPMENT for feasibility only,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Power cannot define equivalence.
N052,D4,equivalence_inference,TOST and/or CI entirely inside frozen interval,Protocol method,Protocol,R0_AUDIT_HOLDOUT,PRE_FROZEN_METHOD,YES,Multiplicity/family-wise rule still parameterize.
N053,D4,minimum_independent_units,TBD per residual family,Power under pre-defined effect/margin; no representation outcome,R0_DEVELOPMENT mechanism stats,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Unit=log/scenario/driver per family.
N054,D4,controlled_treatment_primary_estimand,whole-frozen-roster / intention-to-evaluate,Protocol rule,Protocol,R4 roster freeze,PRE_FROZEN_METHOD,YES,Mechanism-success subset secondary only.
N060,R4,release_noninferiority_margin_delta_NI,NUMERIC VALUE DEFERRED,"R0 freezes definition/method/principle; numeric chosen after model/sample design, before R4 authorization",Historical development + R4 power design; NEVER R4 outcome,R4 authorization,DEFERRED_BY_PROTOCOL,NO_R0,Do not fill numeric in R0 v1.0 unless R4 design already fixed independently.
