asset_id,asset_class,logical_name,role,data_tier,repo_or_source,branch_or_version,path_or_locator,seed,remote_git_blob_sha,local_sha256,shape_or_contract,source_status,verification_required,blocks_v1_freeze,allowed_use,prohibited_use,notes
A013,checkpoint,candidate_A_seed3409,Gen-1 A replication checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3409,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Confirm existence; locate + SHA256,YES,Seed replication if present,Do not silently substitute a newly trained checkpoint,Existence not yet verified.
A014,checkpoint,candidate_B_seed3407,Gen-1 B primary checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3407,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Locate + SHA256 + state_dict metadata,YES,R0 D0/D1/D3 primary diagnostic,No retraining/overwrite,Primary checkpoint for Stage7L diagnosis.
A015,checkpoint,candidate_B_seed3408,Gen-1 B replication checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3408,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Confirm existence; locate + SHA256,YES,Seed replication if present,Do not silently substitute new training,Existence not yet verified.
A016,checkpoint,candidate_B_seed3409,Gen-1 B replication checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3409,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Confirm existence; locate + SHA256,YES,Seed replication if present,Do not silently substitute new training,Existence not yet verified.
A017,checkpoint,candidate_C_seed3407,Gen-1 C primary checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3407,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Locate + SHA256 + architecture metadata,YES,R0 D1/D2 diagnostics,No retraining/overwrite,Primary context candidate.
A018,checkpoint,candidate_C_seed3408,Gen-1 C replication checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3408,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Confirm existence; locate + SHA256,YES,Seed replication if present,Do not silently substitute new training,Existence not yet verified.
A019,checkpoint,candidate_C_seed3409,Gen-1 C replication checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3409,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Confirm existence; locate + SHA256,YES,Seed replication if present,Do not silently substitute new training,Existence not yet verified.
A020,tensor,waymo_dynamic_v2_train_context,Gen-1 training input,R0_DEVELOPMENT,local dataset,,TBD_LOCAL,,,,Expected 83D; T must be verified,LOCAL_VERIFICATION_REQUIRED,"Inspect npy/npz shape,dtype,mask stats + SHA256",YES,D0/D1 contract verification,Do not assume 150 frames,Builder default suggests 80; actual tensor is source of truth.
A021,tensor,waymo_dynamic_v2_val_context,Gen-1 validation input,R0_DEVELOPMENT,local dataset,,TBD_LOCAL,,,,T x 83 TBD,LOCAL_VERIFICATION_REQUIRED,Inspect exact shape + split membership + SHA256,YES,Probe/readout development validation,Do not relabel historical test as untouched,
A022,tensor,waymo_historical_test_context,Historical held-out evidence already analyzed,R0_DEVELOPMENT,local dataset,,TBD_LOCAL,,,,T x 83 TBD,LOCAL_VERIFICATION_REQUIRED,Verify shape/split SHA and prior-use history,NO,Historical held-out development evidence,Must not call untouched confirmation,Previously unlocked/analysed.
A023,tensor,stage7l_nuplan_context,Stage7L pure-lateral evaluation input,R0_DEVELOPMENT,local Stage7L output,,TBD_LOCAL,,,,"Expected 83D; reported/assumed T=150, must verify",LOCAL_VERIFICATION_REQUIRED,Inspect exact array shape + normalization/inference input + SHA256,YES,D0/D1/D3 diagnosis,"Do not assume [*,150,83] until verified",Critical temporal-contract asset.
A024,config,gen1_training_config_and_cli,A/B/C actual training contracts,R0_DEVELOPMENT,local experiment logs/config,,TBD_LOCAL,,,,architecture/loss/window/split/normalization TBD,LOCAL_VERIFICATION_REQUIRED,Locate CLI/config/log + SHA256,YES,D0/D1 contract audit,Do not reconstruct from memory when logs exist,
A025,asset,normalization_scaler,Gen-1 input normalization contract,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,,,,mean/std or scaler TBD,LOCAL_VERIFICATION_REQUIRED,Locate scaler and verify feature order + SHA256,YES,All embedding audits,Never compare raw-space zero vs normalized-space zero without this,
A026,code,ego13_implementation,Handcrafted 13D baseline exact definition,R0_DEVELOPMENT,local/repo code,,TBD_LOCAL,,,,13 feature names/formulas TBD,LOCAL_VERIFICATION_REQUIRED,Locate exact implementation + feature schema + SHA,YES,D1/D3/D4 baseline,Do not use reconstructed 13D definition from prose,
A027,manifest,stage6p_release_trial_manifest,Historical release monitoring trials,R0_DEVELOPMENT,local output,,TBD_LOCAL,,,,n=400 historical protocol; exact manifest TBD,HISTORICAL_HANDOVER_ONLY,Locate manifest/results + SHA + independent units,YES,D3/noninferiority method development,Not R4 confirmation,
A028,manifest,stage7l_roster_and_results,Historical pure-lateral roster/results,R0_DEVELOPMENT,local output,,TBD_LOCAL,,,,historical solved/decoded,HISTORICAL_HANDOVER_ONLY,"Locate roster, mechanism metrics, BDD results, SHA",YES,D0/D1/D3/D4 development only,Cannot become R4 prospective confirmation,
A030,split,r0_development_manifest,R0 development split,R0_DEVELOPMENT,TO_BE_GENERATED,,r0_split_manifest.csv,,,,scenario/log disjoint rules TBD,TO_BE_GENERATED,Generate before audit freeze,YES,Threshold/method development,Cannot contain future R4 confirmation outcomes,
A031,split,r0_audit_holdout_manifest,R0 audit holdout,R0_AUDIT_HOLDOUT,TO_BE_GENERATED,,r0_split_manifest.csv,,,,must be locked before audit outcome inspection,TO_BE_GENERATED,Assess whether sufficient independent assets exist,YES,One-time R0 stability audit,Do not tune after access,
A032,split,future_r4_reserved_pool,Future confirmation source pool,FUTURE_R4_RESERVED_POOL,TO_BE_GENERATED,,TBD manifest/token/generator rules,,,,outcome-blind reserved source,TO_BE_GENERATED,Lock source/token pool/generator rules before formal RBR training,YES,Future roster construction only,No R0/RBR outcome access,
A033,split,future_r4_confirmation_roster,Future prospective confirmation roster,FUTURE_R4_CONFIRMATION_ROSTER,TO_BE_GENERATED,,TBD future,,,,formed in R1 from reserved pool under frozen rules,TO_BE_GENERATED,Do not create until R1 mechanism/matching/runnability rules stabilize,NO,R4 only,Never use in R0/R1/RBR development,
