target_id,feature,definition,physical_scale_unit,measurement_noise_reproducibility,historical_natural_variability,potential_business_behavior_relevance,proposed_equivalence_margin,rationale_category,status,power_only_margin
ego13.heading_change_abs_total,heading_change_abs_total,Sum of absolute wrapped heading increments,rad,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=0.320200562 rad; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.path_length,path_length,Sum of xy displacement norms across valid frames,m,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=86.3230858 m; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.mean_thw,mean_thw,Mean valid-front time headway,s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=108.404993 s; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.min_thw,min_thw,Minimum valid-front time headway,s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=62.045689 s; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.mean_front_distance,mean_front_distance,Mean valid-front distance,m,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=15.2821029 m; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.min_front_distance,min_front_distance,Minimum valid-front distance,m,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=13.173547 m; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.mean_rel_speed,mean_rel_speed,Mean valid-front closing-rate proxy,m/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=6.24640609 m/s; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.p95_rel_speed,p95_rel_speed,95th percentile valid-front closing-rate proxy,m/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=7.37899735 m/s; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.front_pressure_score,front_pressure_score,"Mean clipped max(0,30-front_distance)",m proxy,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=7.16379382 m proxy; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.left_front_min_gap,left_front_min_gap,Minimum left-front gap,m,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=9.73023062 m; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.left_rear_min_gap,left_rear_min_gap,Minimum left-rear gap,m,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=10.1119218 m; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.right_front_min_gap,right_front_min_gap,Minimum right-front gap,m,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=9.63972071 m; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
raw33.right_rear_min_gap,right_rear_min_gap,Minimum right-rear gap,m,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Waymo Dynamic-v2 train population SD=10.002255 m; n=135046,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
