asset_id,asset_class,logical_name,role,data_tier,repo_or_source,branch_or_version,path_or_locator,seed,local_sha256,shape_or_contract,source_status,blocks_v1_freeze,allowed_use,prohibited_use,notes
C006,code,paired_bdd_implementation,Historical paired BDD implementation,R0_DEVELOPMENT,local repo,20260825_stageR_new,tools/stage6l_run_context_representation_ablation.py,,847c66d9bf7b996dfe7fb4d9e3b5712d8d54a9eb5804b2fe98dafe9c82bdf32b,source file,LOCAL_VERIFIED,NO,D3 method trace,Modify historical outputs,
C007,code,stage6p_unpaired_implementation,Historical unpaired release implementation,R0_DEVELOPMENT,local repo,20260825_stageR_new,tools/stage6p_run_representation_unpaired_release.py,,15b1f30106839ec311aad8d9291b21acd937342a27d802fac0707c806fafafaf,source file,LOCAL_VERIFIED,NO,D3 method trace,Modify historical outputs,
K000,checkpoint,old64_best,Historical representation baseline,HISTORICAL_DEVELOPMENT_ONLY,local output,,outputs/waymo_5neighbor_context_laneaware_clean_v1_full51_merged/context_gru_stage5d_balanced_v2/best_model.pt,42,909022f5df03a3f01c2149da6c9b44c613e955a4d816e8ec4d5862f39f8bf0cc,83 to GRU128 to latent64 final hidden,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,
K001,checkpoint,A_seed3407_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_A_dynamic_data_legacy/seed_3407/best_model.pt,3407,353982753f208d27d677c6863a681997b8e28b728573a52fa407807f6fd0298d,LegacySingleGRU 83 to 64,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K002,checkpoint,A_seed3408_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_A_dynamic_data_legacy/seed_3408/best_model.pt,3408,8d9886490b9308623abe938b48fc926106dcf1c109800b78952175970a31077c,LegacySingleGRU 83 to 64,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K003,checkpoint,A_seed3409_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_A_dynamic_data_legacy/seed_3409/best_model.pt,3409,5e22156f0f0197aca9a3fef1fe0e0db1573efd589f93527edfa25eec9f1c92bd,LegacySingleGRU 83 to 64,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K004,checkpoint,B_seed3407_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_B_single_gru_recovery/seed_3407/best_model.pt,3407,d8e0de6e74ee29076082aabef27a425b47678e1372c630e4f4a04106ff34265f,PartitionedSingleGRU 83 to 16+48,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K005,checkpoint,B_seed3408_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_B_single_gru_recovery/seed_3408/best_model.pt,3408,3b8ca8949da185bc25715997d49a64aa4131641409d10f44565a94a9c86f4f35,PartitionedSingleGRU 83 to 16+48,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K006,checkpoint,B_seed3409_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_B_single_gru_recovery/seed_3409/best_model.pt,3409,c2d54a51bfc13d597b0265c59bfe5377035168d133ab97498cbd2d4a1fa53ac5,PartitionedSingleGRU 83 to 16+48,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K007,checkpoint,C_seed3407_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_C_dual_branch/seed_3407/best_model.pt,3407,cc6bf3c427534f66f74904c8948bf427cfe9f1152bba4bca0e8342f3fa47433d,DualBranch ego16+context48,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K008,checkpoint,C_seed3408_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_C_dual_branch/seed_3408/best_model.pt,3408,603d56f34b62fb22e6c59d6558fb42b8dbc67ca0897d09660e87dc8e1f09f521,DualBranch ego16+context48,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
K009,checkpoint,C_seed3409_best,Formal best checkpoint,R0_DEVELOPMENT,local output,,outputs/stage6t_candidates_v1/candidate_C_dual_branch/seed_3409/best_model.pt,3409,1b0a10779d5c90559e71af42cbd2d8c7b6611f6ecb2efca6059b426ce51a974e,DualBranch ego16+context48,LOCAL_VERIFIED,NO,R0 diagnostics,Retrain overwrite substitute,locked SHA match
D001,dataset,waymo_dynamic_v2_full51,A/B/C source dataset,R0_DEVELOPMENT,local output,,outputs/stage6r_dynamic_full51_semantic_strict_v1/stage6r_dynamic_full51_manifest.json,,c67391c26f70734ddecd38b95bcb81b744494383cf62bbfdeb4e024b1fe8305f,36 shards; 168700 rows; per row 80x83,LOCAL_VERIFIED,NO,R0 probe/readout development,Regenerate overwrite,content signature e760605c...
D002,tensor,waymo_train_context,A/B/C optimization input,R0_DEVELOPMENT,local shards,,36 shard context_traj.npy files,,,logical 135046x80x83 float32,LOCAL_VERIFIED,NO,R0 development,Call untouched holdout,scenario split overlap 0
D003,tensor,waymo_val_context,A/B/C checkpoint selection input,R0_DEVELOPMENT,local shards,,36 shard context_traj.npy files,,,logical 16870x80x83 float32,LOCAL_VERIFIED,NO,R0 development,Call untouched holdout,scenario split overlap 0
D004,tensor,waymo_historical_test_context,Previously unlocked one-time test,HISTORICAL_DEVELOPMENT_ONLY,local shards,,36 shard context_traj.npy files,,,logical 16784x80x83 float32,LOCAL_VERIFIED,NO,Historical development evidence,Call untouched confirmation,Stage6V already analyzed
D005,tensor,stage7l_context,Historical lateral evaluation context,HISTORICAL_DEVELOPMENT_ONLY,local output,,outputs/stage7l_e_prospective_bdd_v1/contexts/<dose>/context_traj.npy,,,5 doses each 80x150x83 float32,LOCAL_VERIFIED,NO,D0/D1/D3 historical development,Call future confirmation,Full 150 consumed
D006,target,raw33_training_targets,Actual global style target files,R0_DEVELOPMENT,local shards,,36 interaction_feat_style_raw.npy files,,,168700x33 logical; actual SHAs computed,AMBIGUOUS,YES,R0 provenance diagnosis,Claim historical SHA ledger complete,36 files absent from historical shard SHA ledger
D007,target,clean_longitudinal_targets,Dynamic longitudinal supervision,R0_DEVELOPMENT,local shards,,36 longitudinal_supervision_v2.npy files,,,168700x80x3 logical,LOCAL_VERIFIED,NO,R0 target audit,Regenerate overwrite,registered SHAs match ledger
S001,scaler,raw33_global_scaler,Train-only target standardization,R0_DEVELOPMENT,local output,,outputs/stage6t_training_evaluation_protocol_freeze_v1/stage6t_global_interaction_target_standardization.json,,fd92c818abbe74d3239bbaafd90e72bf9b534b325e6852961c709aa42252381a,train mean/std epsilon 1e-6,LOCAL_VERIFIED,NO,R0 target contract,Refit on val/test,
S002,scaler,ego13_scaler,Historical ego13 median/IQR scaler,HISTORICAL_DEVELOPMENT_ONLY,local output,,outputs/stage6l_context_representation_ablation_representations_v2_runtime_repaired/scalers/handcrafted_reference_scalers.npz,,0b5b5a7049b97045f4e006ed97eb7a1500731a591aa33fd517aac99850296a19,median/IQR from dose100 conservative 183 rows,LOCAL_VERIFIED,NO,Historical ego13 reproduction,Call Waymo-train scaler,
M001,manifest,stage6p_design,Historical unpaired release contract,HISTORICAL_DEVELOPMENT_ONLY,local repo,,configs/stage6p_representation_unpaired_release.json,,6febfe1608e4b312b8ea4107d939e1571ac9548f16cd670befa17a28b58eb33f,800 pairs; 489 logs; 2400 trials,LOCAL_VERIFIED,NO,D3 development,Call future confirmation,log-disjoint releases and scenario overlap forbidden
M002,manifest,stage7l_prospective_bdd_manifest,Historical paired lateral contract,HISTORICAL_DEVELOPMENT_ONLY,local repo,,docs/stage7l_e_prospective_bdd_manifest_v1.json,,4fae0ede5bb77e86eec7f9aa1222b6605248b746dec8767ba3bd75fed6947a8b,80 scenario pairs; paired swap null 100000,LOCAL_VERIFIED,NO,D0/D3 development,Call future confirmation,
M003,split,r0_audit_holdout,R0 one-time stability audit,R0_AUDIT_HOLDOUT,NOT_FOUND,,NOT_FOUND,,,No outcome-blind candidate verified,NOT_FOUND,YES,None until locked,Relabel historical assets,Requires new inventory and power check
M004,split,future_r4_reserved_pool,Future confirmation source pool,FUTURE_R4_RESERVED_POOL,NOT_FOUND,,NOT_FOUND,,,No frozen source/token/generator rule verified,NOT_FOUND,YES,None until locked,Select using RBR outcomes,Must lock before formal RBR training
L001,ledger,formal_checkpoint_ledger,Locked A/B/C checkpoint ledger,R0_DEVELOPMENT,local output,,outputs/stage6u_abc_formal_training_v1/checkpoint_lock/stage6u_formal_checkpoint_ledger.json,,e87c74527d3702de49bc68bebd47ebb485f3ced2a143cd5724cc3c12d59e7ab5,LOCKED_9_OF_9_READY_FOR_BLIND_EVALUATION_UNLOCK,LOCAL_VERIFIED,NO,R0 provenance,Modify historical ledger,
L002,ledger,local_contract_verification,Local fact source,R0_DEVELOPMENT,local output,,outputs/stageR/r0_local_audit/r0_local_contract_verification.json,,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,COMPLETE_WITH_EXPLICIT_WARNINGS,LOCAL_VERIFIED,NO,Governance integration,Commit large output,Output remains local only
